quarter_end_date,total_revenue_inr_cr,total_headcount,sector_rev_per_employee_inr_lakh,revenue_index,headcount_index,decoupling_gap,rpe_index_inr
2021-06-30,121823,1289663,9.446111115849645,100.0,100.0,0.0,100.0
2021-09-30,127675,1358557,9.397839030677403,104.80369060029714,105.34201570487794,-0.5383251045807924,99.48897398537642
2021-12-31,134844,1423568,9.472255628111899,110.6884578445778,110.38294500191135,0.3055128426664453,100.27677540462537
2022-03-31,138440,1509388,9.171929285246735,113.6402813918554,117.03739659120251,-3.3971151993471125,97.0974104873395
2022-06-30,144930,1569092,9.236552095097037,118.96768262150826,121.66682303826659,-2.6991404167583255,97.78153127586032
2022-09-30,152202,1603805,9.490056459482293,124.93699876049678,124.35845643396763,0.5785423265291456,100.46522154031103
2022-12-31,160212,1598901,10.020132578564901,131.51211183438267,123.9782020574367,7.533909776945961,106.07680193124243
2023-03-31,160117,1593294,10.04943218263547,131.4341298441181,123.54343731657029,7.890692527547813,106.38697829600494
2023-06-30,159599,1573105,10.145476621077423,131.0089227814124,121.97798959883319,9.030933182579204,107.40373997987713
2023-09-30,160742,1554199,10.342433626581924,131.9471692537534,120.51202523449925,11.435144019254153,109.48879914432024
2023-12-31,163161,1537208,10.614113379581683,133.93283698480582,119.19454927372499,14.73828771108083,112.36490074494515
2024-03-31,162740,1525776,10.666047965101036,133.5872536384755,118.30811615127364,15.27913748720185,112.91469933277047
2024-06-30,164950,1523742,10.825323447145252,135.40136099094588,118.15040053099143,17.25096045995444,114.60084805673547
2024-09-30,169720,1537295,11.040171209819846,139.3168777652824,119.20129522208515,20.115582543197263,116.87530534439222
2024-12-31,171233,1534708,11.1573667433805,140.55884356812754,119.00070018291599,21.55814338521155,118.11598028589285
2025-03-31,171534,1537054,11.159920211001046,140.8059233478079,119.18260816973117,21.623315178076723,118.1430122315182
